"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-08-01 ~ 2026-07-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"94","부산광역시 사하구 괴정동","1295","1295","0000","힐스테이트사하역","84.9210","202607","30","62,000","-","10","개인","개인","2022","괴정로 166","-","중개거래","부산 사하구","-"
"95","부산광역시 사하구 감천동","868","0868","0000","감천오펠리움아파트","59.6019","202607","30","16,000","-","18","개인","개인","2018","감천로105번길 53","-","중개거래","부산 사하구","-"
"96","부산광역시 해운대구 재송동","1223","1223","0000","더샵센텀누리","72.4883","202607","30","53,800","-","17","개인","개인","2014","해운대로 253","-","중개거래","부산 해운대구","-"
"97","부산광역시 연제구 연산동","699-3","0699","0003","웰메이드홈","49.1347","202607","30","20,500","-","11","개인","개인","2017","월드컵대로 64","-","중개거래","부산 연제구","-"
"98","부산광역시 연제구 거제동","1467-1","1467","0001","거제동롯데캐슬","84.9370","202607","30","43,500","-","14","개인","개인","2001","세병로 44","-","중개거래","부산 연제구","-"
"99","부산광역시 연제구 거제동","1536","1536","0000","레이카운티(1단지)","59.9866","202607","30","83,000","-","27","개인","개인","2023","아시아드대로 39","-","중개거래","부산 연제구","-"
"100","부산광역시 사상구 덕포동","793","0793","0000","덕포경동메르빌","73.5126","202607","30","25,400","-","5","개인","개인","2013","덕상로 8-37","-","중개거래","부산 사상구","-"
"101","부산광역시 수영구 망미동","880-84","0880","0084","망미한신","84.4400","202607","30","24,500","101","11","개인","개인","1989","망미배산로70번길 45","-","중개거래","부산 수영구","26.07.31"
"102","부산광역시 수영구 남천동","490","0490","0000","남천동원로얄듀크","84.9200","202607","30","49,000","-","7","개인","개인","2000","황령대로 431","-","중개거래","부산 수영구","-"
"103","부산광역시 사상구 덕포동","793","0793","0000","덕포경동메르빌","74.0038","202607","30","24,200","-","9","개인","개인","2013","덕상로 8-37","-","중개거래","부산 사상구","-"
"104","부산광역시 강서구 명지동","3400","3400","0000","부산명지중흥S-클래스프라디움","59.9966","202607","30","29,500","-","5","개인","개인","2016","명지국제7로 133","-","중개거래","부산 강서구","-"
"105","부산광역시 사상구 주례동","152-20","0152","0020","주례","50.4500","202607","30","9,000","-","1","개인","개인","1975","가야대로344번길 11","-","중개거래","부산 사상구","-"
"106","부산광역시 연제구 연산동","1361-7","1361","0007","부산더샵시티애비뉴","59.9900","202607","30","44,400","-","23","개인","개인","2015","시청로 6","-","중개거래","부산 남구, 부산 연제구","-"
